mass_A
t,x,y,v
0.000000000E0,1.999237576E-3,3.864425608E-1,
3.336666667E-2,3.827728711E-3,3.859854380E-1,1.257491331E-1
6.673333333E-2,9.313202116E-3,3.823284557E-1,2.249681267E-1
1.001000000E-1,1.746480510E-2,3.797071816E-1,3.187750597E-1
1.334666667E-1,2.919217964E-2,3.747545877E-1,4.317942694E-1
1.668333333E-1,4.410724744E-2,3.687304527E-1,5.238220357E-1
2.002000000E-1,6.145540920E-2,3.612997277E-1,6.170946927E-1
2.335666667E-1,8.181584989E-2,3.521799717E-1,7.205330716E-1
2.669333333E-1,1.054108335E-1,3.418074029E-1,8.195878036E-1
3.003000000E-1,1.314054511E-1,3.291086461E-1,9.268196534E-1
3.336666667E-1,1.608242728E-1,3.143347955E-1,1.042579884E0
3.670333333E-1,1.930447575E-1,2.968401939E-1,1.157768716E0
4.004000000E-1,2.274495656E-1,2.752138191E-1,1.283659146E0
4.337666667E-1,2.645250958E-1,2.496312356E-1,1.429113100E0
4.671333333E-1,3.050129704E-1,2.197227737E-1,1.573120844E0
5.005000000E-1,3.484349065E-1,1.865451073E-1,1.707713387E0
5.338666667E-1,3.971591759E-1,1.526684746E-1,1.846464918E0
5.672333333E-1,4.523242457E-1,1.202853108E-1,1.959995889E0
6.006000000E-1,5.139413195E-1,9.376345290E-2,2.049988695E0
6.339666667E-1,5.816204790E-1,7.559269794E-2,2.100371617E0
6.673333333E-1,6.513404594E-1,6.605700424E-2,2.119714184E0
7.007000000E-1,7.224479506E-1,6.227698974E-2,2.155728001E0
7.340666667E-1,7.951993659E-1,6.600687160E-2,2.139457958E0
7.674333333E-1,8.650709559E-1,6.882327811E-2,2.081452506E0
8.008000000E-1,9.331598523E-1,8.215441362E-2,2.046274208E0
8.341666667E-1,9.975221463E-1,1.020477863E-1,1.984469409E0
8.675333333E-1,1.058006558E0,1.263253705E-1,1.904267982E0
9.009000000E-1,1.114731507E0,1.511479091E-1,1.781770923E0
9.342666667E-1,1.167245412E0,1.732819263E-1,1.677350140E0
9.676333333E-1,1.218735109E0,1.925330758E-1,1.603998656E0
1.001000000E0,1.268348457E0,2.084355027E-1,1.537949287E0
1.034366667E0,1.316625134E0,2.233708685E-1,1.470434982E0
1.067733333E0,1.362545744E0,2.359270396E-1,1.414567153E0
1.101100000E0,1.408330613E0,2.457591485E-1,
