mass_A
t,x,y,v
0.000000000E0,1.273701414E-3,3.871631967E-1,
3.336666667E-2,3.599167319E-3,3.862139994E-1,1.249137446E-1
6.673333333E-2,8.856079332E-3,3.836998241E-1,2.144386612E-1
1.001000000E-1,1.639860526E-2,3.798142804E-1,3.082664775E-1
1.334666667E-1,2.793206706E-2,3.759992098E-1,4.153744443E-1
1.668333333E-1,4.217821870E-2,3.696274113E-1,5.050476206E-1
2.002000000E-1,5.892712943E-2,3.627616581E-1,6.032840395E-1
2.335666667E-1,7.917618366E-2,3.537544739E-1,7.055342059E-1
2.669333333E-1,1.017739357E-1,3.432443053E-1,8.019856954E-1
3.003000000E-1,1.275805445E-1,3.309220334E-1,9.090186456E-1
3.336666667E-1,1.562669307E-1,3.165914845E-1,1.018104229E0
3.670333333E-1,1.878581333E-1,2.995746538E-1,1.132686382E0
4.004000000E-1,2.217710270E-1,2.788721298E-1,1.260571016E0
4.337666667E-1,2.585641986E-1,2.539985524E-1,1.400590980E0
4.671333333E-1,2.981214231E-1,2.249598886E-1,1.542750121E0
5.005000000E-1,3.411229065E-1,1.924896040E-1,1.679341759E0
5.338666667E-1,3.885875749E-1,1.588151348E-1,1.821902921E0
5.672333333E-1,4.425618748E-1,1.254654702E-1,1.944176853E0
6.006000000E-1,5.030165363E-1,9.766904598E-2,2.024434303E0
6.339666667E-1,5.692187891E-1,7.846235573E-2,2.092805380E0
6.673333333E-1,6.393427906E-1,6.733698052E-2,2.130402274E0
7.007000000E-1,7.105174840E-1,6.275696332E-2,2.123459800E0
7.340666667E-1,7.809973434E-1,6.353556471E-2,2.126132187E0
7.674333333E-1,8.523234140E-1,6.745971649E-2,2.112716244E0
8.008000000E-1,9.210872752E-1,7.942882059E-2,2.046476055E0
8.341666667E-1,9.858819169E-1,9.597271345E-2,1.998514948E0
8.675333333E-1,1.048082297E0,1.201617503E-1,1.907298821E0
9.009000000E-1,1.103371524E0,1.449267165E-1,1.797302497E0
9.342666667E-1,1.158084822E0,1.679638944E-1,1.719845341E0
9.676333333E-1,1.209909549E0,1.876120123E-1,1.621486123E0
1.001000000E0,1.260072638E0,2.041201919E-1,1.553839772E0
1.034366667E0,1.308672989E0,2.192031838E-1,1.490662052E0
1.067733333E0,1.355558712E0,2.320137896E-1,1.417798834E0
1.101100000E0,1.400197251E0,2.431865553E-1,
