mass_A
t,x,y,v
0.000000000E0,2.801502501E-3,3.881958539E-1,
3.336666667E-2,2.822124844E-3,3.882117338E-1,6.412666260E-2
6.673333333E-2,6.931285483E-3,3.870742315E-1,1.856291364E-1
1.001000000E-1,1.463290128E-2,3.844754980E-1,2.865171451E-1
1.334666667E-1,2.267185397E-2,3.762198204E-1,3.896175274E-1
1.668333333E-1,3.639315765E-2,3.702446859E-1,4.835086351E-1
2.002000000E-1,5.194821965E-2,3.626552198E-1,5.572049450E-1
2.335666667E-1,7.009892020E-2,3.545417535E-1,6.563584274E-1
2.669333333E-1,9.189155012E-2,3.446814416E-1,7.566954616E-1
3.003000000E-1,1.167600841E-1,3.352372554E-1,8.494647457E-1
3.336666667E-1,1.447297513E-1,3.241482957E-1,9.566404167E-1
3.670333333E-1,1.746446194E-1,3.083132674E-1,1.084746523E0
4.004000000E-1,2.080783944E-1,2.891185835E-1,1.217408018E0
4.337666667E-1,2.431649693E-1,2.646649609E-1,1.334679131E0
4.671333333E-1,2.813647331E-1,2.385009219E-1,1.472188202E0
5.005000000E-1,3.228781862E-1,2.072394292E-1,1.637743896E0
5.338666667E-1,3.683294608E-1,1.723049908E-1,1.767627951E0
5.672333333E-1,4.189895014E-1,1.388500501E-1,1.884229373E0
6.006000000E-1,4.771327762E-1,1.092763131E-1,1.997475962E0
6.339666667E-1,5.407618285E-1,8.462903700E-2,2.064351771E0
6.673333333E-1,6.092849831E-1,7.036734267E-2,2.110614037E0
7.007000000E-1,6.798873322E-1,6.266678108E-2,2.130089710E0
7.340666667E-1,7.512006531E-1,6.224375321E-2,2.133691832E0
7.674333333E-1,8.222463127E-1,6.555954328E-2,2.116719931E0
8.008000000E-1,8.920743306E-1,7.262650022E-2,2.076319344E0
8.341666667E-1,9.588640397E-1,8.867642341E-2,2.028294172E0
8.675333333E-1,1.022177278E0,1.099648641E-1,1.947322742E0
9.009000000E-1,1.079624658E0,1.366787478E-1,1.845120939E0
9.342666667E-1,1.134714090E0,1.599321191E-1,1.753130636E0
9.676333333E-1,1.188079352E0,1.805509050E-1,1.671078414E0
1.001000000E0,1.238550342E0,2.006014212E-1,1.587324948E0
1.034366667E0,1.287531581E0,2.170185119E-1,1.510037468E0
1.067733333E0,1.335224315E0,2.290391121E-1,1.429402659E0
1.101100000E0,1.379517113E0,2.422709533E-1,1.367118281E0
1.134466667E0,1.424131113E0,2.495067630E-1,
