mass_A
t,x,y,v
0.000000000E0,2.079234063E-3,3.866635034E-1,
3.336666667E-2,2.197805138E-3,3.865556677E-1,1.082830145E-1
6.673333333E-2,8.542442311E-3,3.834318993E-1,2.678288828E-1
1.001000000E-1,1.673657739E-2,3.761598844E-1,3.296848575E-1
1.334666667E-1,2.725266738E-2,3.718573524E-1,3.921337953E-1
1.668333333E-1,4.089874574E-2,3.661112760E-1,5.003482928E-1
2.002000000E-1,5.791489873E-2,3.586394245E-1,6.050590366E-1
2.335666667E-1,7.775969064E-2,3.496303222E-1,6.980177622E-1
2.669333333E-1,1.005246150E-1,3.398190503E-1,8.014594482E-1
3.003000000E-1,1.263785160E-1,3.273423311E-1,9.097961157E-1
3.336666667E-1,1.550713311E-1,3.131579838E-1,1.016783297E0
3.670333333E-1,1.866370521E-1,2.961496332E-1,1.130607656E0
4.004000000E-1,2.205998574E-1,2.757601675E-1,1.256626804E0
4.337666667E-1,2.572329126E-1,2.508888465E-1,1.395660840E0
4.671333333E-1,2.968907084E-1,2.223352157E-1,1.548880920E0
5.005000000E-1,3.401423088E-1,1.891658174E-1,1.694416801E0
5.338666667E-1,3.879896562E-1,1.553521616E-1,1.824520079E0
5.672333333E-1,4.421379370E-1,1.226715316E-1,1.938950896E0
6.006000000E-1,5.023927613E-1,9.490061830E-2,2.022822127E0
6.339666667E-1,5.685904550E-1,7.542780334E-2,2.091978293E0
6.673333333E-1,6.386738599E-1,6.461976323E-2,2.123968597E0
7.007000000E-1,7.095129441E-1,6.023112112E-2,2.121866265E0
7.340666667E-1,7.802121522E-1,6.046672675E-2,2.123568875E0
7.674333333E-1,8.511473716E-1,6.494440277E-2,2.107780664E0
8.008000000E-1,9.199523112E-1,7.651997756E-2,2.068278058E0
8.341666667E-1,9.849416494E-1,9.884815396E-2,1.989733221E0
8.675333333E-1,1.045943509E0,1.184383850E-1,1.887733792E0
9.009000000E-1,1.102880867E0,1.431198505E-1,1.808802636E0
9.342666667E-1,1.156890977E0,1.659877569E-1,1.713506384E0
9.676333333E-1,1.209077960E0,1.855184478E-1,1.630228849E0
1.001000000E0,1.259518706E0,2.020840871E-1,1.560788472E0
1.034366667E0,1.308390289E0,2.169137050E-1,1.499122070E0
1.067733333E0,1.355556725E0,2.301016387E-1,1.416107813E0
1.101100000E0,1.399905616E0,2.404826752E-1,
