mass_A
t,x,y,v
0.000000000E0,1.180229633E-3,3.877737493E-1,
3.336666667E-2,2.268557820E-3,3.866854212E-1,8.298006383E-2
6.673333333E-2,5.896318443E-3,3.848715408E-1,1.702886251E-1
1.001000000E-1,1.260767560E-2,3.819693323E-1,2.761383321E-1
1.334666667E-1,2.312818140E-2,3.783415717E-1,3.717971456E-1
1.668333333E-1,3.551783253E-2,3.724444453E-1,4.613520460E-1
2.002000000E-1,5.123885725E-2,3.657851492E-1,5.648843885E-1
2.335666667E-1,7.023644927E-2,3.577593278E-1,6.707342722E-1
2.669333333E-1,9.224896276E-2,3.478503025E-1,7.661955371E-1
3.003000000E-1,1.167111714E-1,3.364413286E-1,8.661535720E-1
3.336666667E-1,1.444130964E-1,3.229526082E-1,9.807225193E-1
3.670333333E-1,1.750840067E-1,3.068456100E-1,1.111499412E0
4.004000000E-1,2.082555772E-1,2.864837756E-1,1.215629764E0
4.337666667E-1,2.441405439E-1,2.642763715E-1,1.330228278E0
4.671333333E-1,2.824600413E-1,2.364683355E-1,1.491825427E0
5.005000000E-1,3.243676952E-1,2.053297907E-1,1.636618234E0
5.338666667E-1,3.701842335E-1,1.714082323E-1,1.769509675E0
5.672333333E-1,4.211155821E-1,1.376246987E-1,1.896014910E0
6.006000000E-1,4.793796397E-1,1.074899646E-1,2.010135769E0
6.339666667E-1,5.441832124E-1,8.425130651E-2,2.066836920E0
6.673333333E-1,6.122174599E-1,7.036924261E-2,2.116397316E0
7.007000000E-1,6.839515752E-1,6.395555709E-2,2.137478245E0
7.340666667E-1,7.546563509E-1,6.277773746E-2,2.124559329E0
7.674333333E-1,8.257282230E-1,6.475925829E-2,2.113419101E0
8.008000000E-1,8.952618574E-1,7.378247129E-2,2.084650172E0
8.341666667E-1,9.624965919E-1,9.020682571E-2,2.019730153E0
8.675333333E-1,1.024430429E0,1.122795497E-1,1.932687248E0
9.009000000E-1,1.082514460E0,1.374315529E-1,1.849047436E0
9.342666667E-1,1.137663075E0,1.613124445E-1,1.735111282E0
9.676333333E-1,1.188614634E0,1.837998776E-1,1.617213550E0
1.001000000E0,1.238619083E0,1.994576072E-1,1.552241261E0
1.034366667E0,1.287281590E0,2.153425393E-1,1.489779650E0
1.067733333E0,1.333545433E0,2.290028145E-1,1.405805244E0
1.101100000E0,1.377449949E0,2.412413179E-1,
