mass_A
t,x,y,v
0.000000000E0,6.154658927E-4,3.874696366E-1,
3.336666667E-2,2.456360359E-3,3.859854380E-1,1.256795297E-1
6.673333333E-2,7.947035162E-3,3.833965426E-1,2.216274714E-1
1.001000000E-1,1.618213973E-2,3.804767808E-1,3.145290982E-1
1.334666667E-1,2.741111675E-2,3.755408572E-1,4.137231593E-1
1.668333333E-1,4.158007668E-2,3.696504883E-1,5.018564199E-1
2.002000000E-1,5.829628633E-2,3.625900519E-1,6.029951298E-1
2.335666667E-1,7.839824366E-2,3.534125660E-1,7.094549568E-1
2.669333333E-1,1.014257495E-1,3.430623386E-1,8.074444393E-1
3.003000000E-1,1.273338926E-1,3.308575355E-1,9.192622069E-1
3.336666667E-1,1.565711686E-1,3.161877281E-1,1.027456431E0
3.670333333E-1,1.882331530E-1,2.993532412E-1,1.138022148E0
4.004000000E-1,2.223871656E-1,2.782964704E-1,1.267947902E0
4.337666667E-1,2.591956958E-1,2.532673158E-1,1.403060801E0
4.671333333E-1,2.991465700E-1,2.246798333E-1,1.548464151E0
5.005000000E-1,3.421402026E-1,1.916380988E-1,1.698303160E0
5.338666667E-1,3.905015143E-1,1.576071808E-1,1.830874212E0
5.672333333E-1,4.442571225E-1,1.245547929E-1,1.934436405E0
6.006000000E-1,5.045655301E-1,9.715896239E-2,2.014813113E0
6.339666667E-1,5.704543300E-1,7.816013469E-2,2.082240632E0
6.673333333E-1,6.401735606E-1,6.684535676E-2,2.118862391E0
7.007000000E-1,7.110171964E-1,6.280802864E-2,2.121374585E0
7.340666667E-1,7.816981723E-1,6.340600755E-2,2.119518376E0
7.674333333E-1,8.523829978E-1,6.746618508E-2,2.098051371E0
8.008000000E-1,9.208164560E-1,7.918233341E-2,2.026596604E0
8.341666667E-1,9.845860757E-1,9.597271345E-2,1.959795181E0
8.675333333E-1,1.045202650E0,1.195858208E-1,1.902342094E0
9.009000000E-1,1.101999703E0,1.442453612E-1,1.801792329E0
9.342666667E-1,1.155653102E0,1.671069855E-1,1.697659212E0
9.676333333E-1,1.206992846E0,1.868031767E-1,1.616810369E0
1.001000000E0,1.257195392E0,2.035833568E-1,1.548250016E0
1.034366667E0,1.305373079E0,2.183678468E-1,1.482056743E0
1.067733333E0,1.352109394E0,2.313872018E-1,1.396106092E0
1.101100000E0,1.395571046E0,2.416998383E-1,
